INFO     | 2026-04-22 15:27:22,507 | progress   |       Finished subset 11/741, 1.48 percent done
INFO     | 2026-04-22 15:27:23,326 | progress   |       Finished subset 12/741, 1.62 percent done
INFO     | 2026-04-22 15:27:23,513 | progress   |       Finished subset 13/741, 1.75 percent done
INFO     | 2026-04-22 15:27:24,509 | progress   |       Finished subset 14/741, 1.89 percent done
INFO     | 2026-04-22 15:27:27,312 | progress   |       Finished subset 15/741, 2.02 percent done
INFO     | 2026-04-22 15:27:28,559 | progress   |       Finished subset 16/741, 2.16 percent done
INFO     | 2026-04-22 15:27:29,171 | progress   |       Finished subset 17/741, 2.29 percent done
INFO     | 2026-04-22 15:27:30,999 | progress   |       Finished subset 18/741, 2.43 percent done
INFO     | 2026-04-22 15:27:31,424 | progress   |       Finished subset 19/741, 2.56 percent done
INFO     | 2026-04-22 15:27:34,437 | progress   |       Finished subset 20/741, 2.70 percent done
INFO     | 2026-04-22 15:27:36,605 | progress   |       Finished subset 21/741, 2.83 percent done
INFO     | 2026-04-22 15:27:38,857 | progress   |       Finished subset 22/741, 2.97 percent done
INFO     | 2026-04-22 15:27:39,734 | progress   |       Finished subset 23/741, 3.10 percent done
INFO     | 2026-04-22 15:27:39,779 | progress   |       Finished subset 24/741, 3.24 percent done
INFO     | 2026-04-22 15:27:43,105 | progress   |       Finished subset 25/741, 3.37 percent done
INFO     | 2026-04-22 15:27:43,671 | progress   |       Finished subset 26/741, 3.51 percent done
INFO     | 2026-04-22 15:27:47,976 | progress   |       Finished subset 27/741, 3.64 percent done
INFO     | 2026-04-22 15:27:48,453 | progress   |       Finished subset 28/741, 3.78 percent done
INFO     | 2026-04-22 15:27:49,306 | progress   |       Finished subset 29/741, 3.91 percent done
INFO     | 2026-04-22 15:27:49,726 | progress   |       Finished subset 30/741, 4.05 percent done
INFO     | 2026-04-22 15:27:51,145 | progress   |       Finished subset 31/741, 4.18 percent done
INFO     | 2026-04-22 15:27:52,996 | progress   |       Finished subset 32/741, 4.32 percent done
INFO     | 2026-04-22 15:27:53,176 | progress   |       Finished subset 33/741, 4.45 percent done
INFO     | 2026-04-22 15:27:53,986 | progress   |       Finished subset 34/741, 4.59 percent done
INFO     | 2026-04-22 15:27:56,325 | progress   |       Finished subset 35/741, 4.72 percent done
INFO     | 2026-04-22 15:27:59,352 | progress   |       Finished subset 36/741, 4.86 percent done
INFO     | 2026-04-22 15:28:02,457 | progress   |       Finished subset 37/741, 4.99 percent done
INFO     | 2026-04-22 15:28:07,397 | progress   |       Finished subset 38/741, 5.13 percent done
INFO     | 2026-04-22 15:28:07,506 | progress   |       Finished subset 39/741, 5.26 percent done
INFO     | 2026-04-22 15:28:08,105 | progress   |       Finished subset 40/741, 5.40 percent done
INFO     | 2026-04-22 15:28:08,915 | progress   |       Finished subset 41/741, 5.53 percent done
INFO     | 2026-04-22 15:28:11,259 | progress   |       Finished subset 42/741, 5.67 percent done
INFO     | 2026-04-22 15:28:11,786 | progress   |       Finished subset 43/741, 5.80 percent done
INFO     | 2026-04-22 15:28:12,609 | progress   |       Finished subset 44/741, 5.94 percent done
INFO     | 2026-04-22 15:28:15,066 | progress   |       Finished subset 45/741, 6.07 percent done
INFO     | 2026-04-22 15:28:15,447 | progress   |       Finished subset 46/741, 6.21 percent done
INFO     | 2026-04-22 15:28:17,970 | progress   |       Finished subset 47/741, 6.34 percent done
INFO     | 2026-04-22 15:28:21,479 | progress   |       Finished subset 48/741, 6.48 percent done
INFO     | 2026-04-22 15:28:23,315 | progress   |       Finished subset 49/741, 6.61 percent done
INFO     | 2026-04-22 15:28:24,216 | progress   |       Finished subset 50/741, 6.75 percent done
INFO     | 2026-04-22 15:28:26,207 | progress   |       Finished subset 51/741, 6.88 percent done
INFO     | 2026-04-22 15:28:26,430 | progress   |       Finished subset 52/741, 7.02 percent done
INFO     | 2026-04-22 15:28:28,822 | progress   |       Finished subset 53/741, 7.15 percent done
INFO     | 2026-04-22 15:28:29,515 | progress   |       Finished subset 54/741, 7.29 percent done
INFO     | 2026-04-22 15:28:30,937 | progress   |       Finished subset 55/741, 7.42 percent done
INFO     | 2026-04-22 15:28:31,890 | progress   |       Finished subset 56/741, 7.56 percent done
INFO     | 2026-04-22 15:28:32,493 | progress   |       Finished subset 57/741, 7.69 percent done
INFO     | 2026-04-22 15:28:35,905 | progress   |       Finished subset 58/741, 7.83 percent done
INFO     | 2026-04-22 15:28:37,191 | progress   |       Finished subset 59/741, 7.96 percent done
INFO     | 2026-04-22 15:28:39,709 | progress   |       Finished subset 60/741, 8.10 percent done
INFO     | 2026-04-22 15:28:40,381 | progress   |       Finished subset 61/741, 8.23 percent done
INFO     | 2026-04-22 15:28:40,835 | progress   |       Finished subset 62/741, 8.37 percent done
INFO     | 2026-04-22 15:28:42,825 | progress   |       Finished subset 63/741, 8.50 percent done
INFO     | 2026-04-22 15:28:43,647 | progress   |       Finished subset 64/741, 8.64 percent done
INFO     | 2026-04-22 15:28:46,578 | progress   |       Finished subset 65/741, 8.77 percent done
INFO     | 2026-04-22 15:28:53,072 | progress   |       Finished subset 66/741, 8.91 percent done
INFO     | 2026-04-22 15:28:54,634 | progress   |       Finished subset 67/741, 9.04 percent done
INFO     | 2026-04-22 15:28:54,867 | progress   |       Finished subset 68/741, 9.18 percent done
INFO     | 2026-04-22 15:28:55,358 | progress   |       Finished subset 69/741, 9.31 percent done
INFO     | 2026-04-22 15:28:55,851 | progress   |       Finished subset 70/741, 9.45 percent done
INFO     | 2026-04-22 15:28:59,035 | progress   |       Finished subset 71/741, 9.58 percent done
INFO     | 2026-04-22 15:29:02,414 | progress   |       Finished subset 72/741, 9.72 percent done
INFO     | 2026-04-22 15:29:04,953 | progress   |       Finished subset 73/741, 9.85 percent done
INFO     | 2026-04-22 15:29:04,999 | progress   |       Finished subset 74/741, 9.99 percent done
INFO     | 2026-04-22 15:29:05,569 | progress   |       Finished subset 75/741, 10.12 percent done
INFO     | 2026-04-22 15:29:06,240 | progress   |       Finished subset 76/741, 10.26 percent done
INFO     | 2026-04-22 15:29:07,147 | progress   |       Finished subset 77/741, 10.39 percent done
INFO     | 2026-04-22 15:29:07,924 | progress   |       Finished subset 78/741, 10.53 percent done
INFO     | 2026-04-22 15:29:08,398 | progress   |       Finished subset 79/741, 10.66 percent done
INFO     | 2026-04-22 15:29:09,825 | progress   |       Finished subset 80/741, 10.80 percent done
INFO     | 2026-04-22 15:29:11,493 | progress   |       Finished subset 81/741, 10.93 percent done
INFO     | 2026-04-22 15:29:12,003 | progress   |       Finished subset 82/741, 11.07 percent done
